iteration,n_workers,p_version,completion_time,frames_num,frames_motion_num
1,1,0,25950739,251,159
1,1,1,24791288,251,159
1,1,2,44523806,251,159
1,1,3,35057619,251,159
1,2,1,12730630,251,159
1,2,2,15997249,251,159
1,2,3,12298263,251,159
1,3,1,8738667,251,159
1,3,2,15025610,251,159
1,3,3,12119580,251,159
1,4,1,8203857,251,159
1,4,2,9472250,251,159
1,4,3,9568333,251,159
1,5,1,6018587,251,159
1,5,2,9177467,251,159
1,5,3,9653063,251,159
1,6,1,5162522,251,159
1,6,2,6910032,251,159
1,6,3,9579355,251,159
1,7,1,4252535,251,159
1,7,2,6688685,251,159
1,7,3,9579097,251,159
1,8,1,4363646,251,159
1,8,2,5407187,251,159
1,8,3,9568705,251,159
1,9,1,3791047,251,159
1,9,2,5332056,251,159
1,9,3,9557096,251,159
1,10,1,3555834,251,159
1,10,2,4518363,251,159
1,10,3,9535835,251,159
1,11,1,3268339,251,159
1,11,2,4478521,251,159
1,11,3,9660624,251,159
1,12,1,3097574,251,159
1,12,2,3883142,251,159
1,12,3,9533774,251,159
1,13,1,3016769,251,159
1,13,2,3833633,251,159
1,13,3,9544681,251,159
1,14,1,2840378,251,159
1,14,2,3432092,251,159
1,14,3,9559847,251,159
1,15,1,2639368,251,159
1,15,2,3429379,251,159
1,15,3,9508016,251,159
1,16,1,2682340,251,159
1,16,2,3088446,251,159
1,16,3,9509630,251,159
1,17,1,2424239,251,159
1,17,2,3056564,251,159
1,17,3,9525091,251,159
1,18,1,2402030,251,159
1,18,2,2859198,251,159
1,18,3,9508153,251,159
1,19,1,2444877,251,159
1,19,2,2801822,251,159
1,19,3,9616823,251,159
1,20,1,2370788,251,159
1,20,2,2654305,251,159
1,20,3,9520647,251,159
1,21,1,2377198,251,159
1,21,2,2622154,251,159
1,21,3,9530106,251,159
1,22,1,2270278,251,159
1,22,2,2487496,251,159
1,22,3,9557637,251,159
1,23,1,2470709,251,159
1,23,2,2434648,251,159
1,23,3,9563419,251,159
1,24,1,2376851,251,159
1,24,2,2361930,251,159
1,24,3,9493698,251,159
1,25,1,2382613,251,159
1,25,2,2324979,251,159
1,25,3,9531931,251,159
1,26,1,2349779,251,159
1,26,2,2323614,251,159
1,26,3,9670058,251,159
1,27,1,2350598,251,159
1,27,2,2276751,251,159
1,27,3,9575190,251,159
1,28,1,2350599,251,159
1,28,2,2238468,251,159
1,28,3,9552992,251,159
1,29,1,2406205,251,159
1,29,2,2340569,251,159
1,29,3,9497546,251,159
1,30,1,2284858,251,159
1,30,2,2686899,251,159
1,30,3,9520226,251,159
1,31,1,2317151,251,159
1,31,2,2330361,251,159
1,31,3,9684892,251,159
1,32,1,2495734,251,159
1,32,2,4214510,251,159
1,32,3,18835337,251,159
2,1,0,26026264,251,159
2,1,1,25086931,251,159
2,1,2,44224947,251,159
2,1,3,35209488,251,159
2,2,1,12791855,251,159
2,2,2,15990962,251,159
2,2,3,12266070,251,159
2,3,1,10097152,251,159
2,3,2,15153329,251,159
2,3,3,12065605,251,159
2,4,1,6893306,251,159
2,4,2,9622824,251,159
2,4,3,9518212,251,159
2,5,1,5586257,251,159
2,5,2,9010698,251,159
2,5,3,9624134,251,159
2,6,1,5984209,251,159
2,6,2,6918306,251,159
2,6,3,9549271,251,159
2,7,1,4436054,251,159
2,7,2,6755892,251,159
2,7,3,9594793,251,159
2,8,1,4382697,251,159
2,8,2,5443709,251,159
