iteration,n_workers,p_version,completion_time,frames_num,frames_motion_num
1,1,0,25969510,251,159
1,1,1,25277106,251,159
1,1,2,25998063,251,159
1,1,3,23176933,251,159
1,2,1,12816991,251,159
1,2,2,13557091,251,159
1,2,3,13656523,251,159
1,3,1,9958295,251,159
1,3,2,15208939,251,159
1,3,3,12553973,251,159
1,4,1,7656652,251,159
1,4,2,11634061,251,159
1,4,3,9657452,251,159
1,5,1,5544216,251,159
1,5,2,9288325,251,159
1,5,3,9640102,251,159
1,6,1,5311718,251,159
1,6,2,7848655,251,159
1,6,3,9619604,251,159
1,7,1,4977957,251,159
1,7,2,6818207,251,159
1,7,3,9628529,251,159
1,8,1,4292643,251,159
1,8,2,5928269,251,159
1,8,3,9522409,251,159
1,9,1,3766033,251,159
1,9,2,5346833,251,159
1,9,3,9570454,251,159
1,10,1,3556840,251,159
1,10,2,4826795,251,159
1,10,3,9530098,251,159
1,11,1,3413669,251,159
1,11,2,4450886,251,159
1,11,3,9658411,251,159
1,12,1,3059402,251,159
1,12,2,4144344,251,159
1,12,3,9538325,251,159
1,13,1,2727473,251,159
1,13,2,3877816,251,159
1,13,3,9581391,251,159
1,14,1,2876880,251,159
1,14,2,3614140,251,159
1,14,3,9612139,251,159
1,15,1,2930391,251,159
1,15,2,3420606,251,159
1,15,3,9612685,251,159
1,16,1,2516835,251,159
1,16,2,3240285,251,159
1,16,3,9533833,251,159
1,17,1,2549244,251,159
1,17,2,3095013,251,159
1,17,3,9530051,251,159
1,18,1,2456139,251,159
1,18,2,2928548,251,159
1,18,3,9530767,251,159
1,19,1,2432654,251,159
1,19,2,2837042,251,159
1,19,3,9600451,251,159
1,20,1,2436680,251,159
1,20,2,2774901,251,159
1,20,3,9541778,251,159
1,21,1,2291505,251,159
1,21,2,2679549,251,159
1,21,3,9661256,251,159
1,22,1,2403562,251,159
1,22,2,2595095,251,159
1,22,3,9530736,251,159
1,23,1,2398271,251,159
1,23,2,2503512,251,159
1,23,3,9645777,251,159
1,24,1,2439132,251,159
1,24,2,2401928,251,159
1,24,3,9556323,251,159
1,25,1,2390551,251,159
1,25,2,2389807,251,159
1,25,3,9518142,251,159
1,26,1,2316544,251,159
1,26,2,2278272,251,159
1,26,3,9583373,251,159
1,27,1,2470419,251,159
1,27,2,2307639,251,159
1,27,3,9593772,251,159
1,28,1,2386183,251,159
1,28,2,2318643,251,159
1,28,3,9428705,251,159
1,29,1,2374784,251,159
1,29,2,2341243,251,159
1,29,3,9531207,251,159
1,30,1,2284012,251,159
1,30,2,2414733,251,159
1,30,3,9960794,251,159
1,31,1,2407719,251,159
1,31,2,2880395,251,159
1,31,3,9760659,251,159
1,32,1,2454375,251,159
1,32,2,4191169,251,159
1,32,3,18938519,251,159
2,1,0,26051916,251,159
2,1,1,25094331,251,159
2,1,2,25816825,251,159
2,1,3,23127785,251,159
2,2,1,18055435,251,159
2,2,2,13655897,251,159
2,2,3,13623432,251,159
2,3,1,8716726,251,159
2,3,2,15391084,251,159
2,3,3,12651167,251,159
2,4,1,6872879,251,159
2,4,2,11604656,251,159
2,4,3,9627396,251,159
2,5,1,6453848,251,159
2,5,2,9342643,251,159
2,5,3,9710269,251,159
2,6,1,5281544,251,159
2,6,2,7872825,251,159
2,6,3,9562375,251,159
2,7,1,4402876,251,159
2,7,2,6824020,251,159
2,7,3,9637032,251,159
2,8,1,4145058,251,159
2,8,2,6026978,251,159
2,8,3,9568940,251,159
2,9,1,3820554,251,159
2,9,2,5334973,251,159
2,9,3,9589249,251,159
2,10,1,3698732,251,159
2,10,2,4822901,251,159
2,10,3,9551002,251,159
2,11,1,3492666,251,159
2,11,2,4447582,251,159
2,11,3,9544053,251,159
2,12,1,3151770,251,159
2,12,2,4137678,251,159
2,12,3,9575606,251,159
2,13,1,3014811,251,159
2,13,2,3860099,251,159
2,13,3,9574527,251,159
2,14,1,2947598,251,159
2,14,2,3733854,251,159
2,14,3,9605974,251,159
2,15,1,2781491,251,159
2,15,2,3451371,251,159
2,15,3,9604929,251,159
2,16,1,2678029,251,159
2,16,2,3189589,251,159
2,16,3,9598731,251,159
2,17,1,2468261,251,159
2,17,2,3171260,251,159
2,17,3,9557580,251,159
2,18,1,2454866,251,159
2,18,2,2941394,251,159
2,18,3,9506131,251,159
2,19,1,2405140,251,159
2,19,2,2854611,251,159
2,19,3,9595303,251,159
2,20,1,2431471,251,159
2,20,2,2844570,251,159
2,20,3,9585843,251,159
2,21,1,2432861,251,159
2,21,2,2642341,251,159
2,21,3,9546441,251,159
2,22,1,2313821,251,159
2,22,2,2547226,251,159
2,22,3,9470797,251,159
2,23,1,2274473,251,159
2,23,2,2492225,251,159
2,23,3,9595464,251,159
2,24,1,2456502,251,159
2,24,2,2477959,251,159
2,24,3,9679637,251,159
2,25,1,2360655,251,159
2,25,2,2319314,251,159
2,25,3,9571709,251,159
2,26,1,2397514,251,159
2,26,2,2283026,251,159
2,26,3,9565319,251,159
2,27,1,2481572,251,159
2,27,2,2473390,251,159
2,27,3,9607635,251,159
2,28,1,2461302,251,159
2,28,2,2324359,251,159
2,28,3,9533141,251,159
2,29,1,2371083,251,159
2,29,2,2360904,251,159
2,29,3,9474836,251,159
2,30,1,2264201,251,159
2,30,2,2570733,251,159
2,30,3,9577650,251,159
2,31,1,2426848,251,159
2,31,2,2601971,251,159
2,31,3,10344584,251,159
2,32,1,2410655,251,159
2,32,2,4122859,251,159
2,32,3,18841109,251,159
3,1,0,28459859,251,159
3,1,1,24850077,251,159
3,1,2,25967199,251,159
3,1,3,23018558,251,159
3,2,1,13039093,251,159
3,2,2,13626410,251,159
3,2,3,13557794,251,159
3,3,1,8784752,251,159
3,3,2,15342343,251,159
3,3,3,12577196,251,159
3,4,1,8384178,251,159
3,4,2,11165678,251,159
3,4,3,9612750,251,159
3,5,1,5507904,251,159
3,5,2,9378748,251,159
3,5,3,9620504,251,159
3,6,1,5423833,251,159
3,6,2,7826917,251,159
3,6,3,9639246,251,159
3,7,1,4507311,251,159
3,7,2,6793306,251,159
3,7,3,9596336,251,159
3,8,1,4463270,251,159
3,8,2,5990748,251,159
3,8,3,9609306,251,159
3,9,1,3985999,251,159
3,9,2,5409829,251,159
3,9,3,9603760,251,159
3,10,1,3764668,251,159
3,10,2,4784068,251,159
3,10,3,9599163,251,159
3,11,1,3311929,251,159
3,11,2,4387190,251,159
3,11,3,9559873,251,159
3,12,1,3067843,251,159
3,12,2,4159246,251,159
3,12,3,9523698,251,159
3,13,1,2870932,251,159
3,13,2,3875845,251,159
3,13,3,9583468,251,159
3,14,1,2906027,251,159
3,14,2,3591353,251,159
3,14,3,9558924,251,159
3,15,1,2679471,251,159
3,15,2,3444458,251,159
3,15,3,9528441,251,159
3,16,1,2733723,251,159
3,16,2,3200425,251,159
3,16,3,9508681,251,159
3,17,1,2587540,251,159
3,17,2,3034018,251,159
3,17,3,9741292,251,159
3,18,1,2606889,251,159
3,18,2,2957716,251,159
3,18,3,9584012,251,159
3,19,1,2433988,251,159
3,19,2,2829784,251,159
3,19,3,9682979,251,159
3,20,1,2458104,251,159
3,20,2,2689002,251,159
3,20,3,9482334,251,159
3,21,1,2298861,251,159
3,21,2,2728584,251,159
3,21,3,9592466,251,159
3,22,1,2231913,251,159
3,22,2,2534242,251,159
3,22,3,9561863,251,159
3,23,1,2322211,251,159
3,23,2,2429072,251,159
3,23,3,9559450,251,159
3,24,1,2270345,251,159
3,24,2,2396600,251,159
3,24,3,9508513,251,159
3,25,1,2380422,251,159
3,25,2,2455161,251,159
3,25,3,9993090,251,159
3,26,1,2375264,251,159
3,26,2,2290584,251,159
3,26,3,9534332,251,159
3,27,1,2442737,251,159
3,27,2,2287542,251,159
3,27,3,9889864,251,159
3,28,1,2417357,251,159
3,28,2,2367324,251,159
3,28,3,9560497,251,159
3,29,1,2498598,251,159
3,29,2,2324231,251,159
3,29,3,9728330,251,159
3,30,1,2428697,251,159
3,30,2,2479948,251,159
3,30,3,9786095,251,159
3,31,1,2346959,251,159
3,31,2,2610564,251,159
3,31,3,9946173,251,159
3,32,1,2409588,251,159
3,32,2,4319693,251,159
3,32,3,19319426,251,159
4,1,0,26481575,251,159
4,1,1,24920252,251,159
4,1,2,25902216,251,159
4,1,3,23008794,251,159
4,2,1,13042788,251,159
4,2,2,13519639,251,159
4,2,3,13524600,251,159
4,3,1,8712067,251,159
4,3,2,15215793,251,159
4,3,3,12484085,251,159
4,4,1,6749597,251,159
4,4,2,11512111,251,159
4,4,3,9753963,251,159
4,5,1,5769108,251,159
4,5,2,9241803,251,159
4,5,3,9600175,251,159
4,6,1,4739163,251,159
4,6,2,7850284,251,159
4,6,3,9640423,251,159
4,7,1,4507875,251,159
4,7,2,6795639,251,159
4,7,3,9596003,251,159
4,8,1,4464697,251,159
4,8,2,6004954,251,159
4,8,3,9532372,251,159
4,9,1,3764970,251,159
4,9,2,5355159,251,159
4,9,3,9666357,251,159
4,10,1,3805950,251,159
4,10,2,4900379,251,159
4,10,3,9550244,251,159
4,11,1,3205400,251,159
4,11,2,4486346,251,159
4,11,3,9579923,251,159
4,12,1,3030341,251,159
4,12,2,4136135,251,159
4,12,3,9748250,251,159
4,13,1,2966580,251,159
4,13,2,3862605,251,159
4,13,3,9582857,251,159
4,14,1,2616222,251,159
4,14,2,3638219,251,159
4,14,3,9546091,251,159
4,15,1,2540071,251,159
4,15,2,3424630,251,159
4,15,3,9529761,251,159
4,16,1,2516974,251,159
4,16,2,3211114,251,159
4,16,3,9553191,251,159
4,17,1,2481559,251,159
